お仕事No.,応募数 合計
2203556553,2.1119475
2203515280,3.1739333
2203546900,3.028255
2203545344,3.5730212
2203557987,2.291357
2203511565,2.4710555
2203525420,2.267332
2203494391,2.9553487
2203509988,2.1529393
2203554385,2.0005054
2203554555,1.990834
2203559938,0.31126517
2203546898,2.401125
2203537199,2.1840334
2203509659,2.3905656
2203526411,2.2423034
2203558348,1.3723915
2203527442,1.8327287
2203548920,1.7045678
2203539381,1.4805
2203548939,1.9607196
2203514393,2.6214545
2203540200,1.7519681
2203552261,2.656759
2203523737,2.551537
2203511772,1.6449975
2203538462,2.5325975
2203545202,3.0376697
2203501746,3.2278593
2203551617,1.6809039
2203554360,1.7997777
2203467767,2.52233
2203559180,1.0401725
2203526166,1.6530386
2203495958,2.4977531
2203552588,1.2276704
2203546087,3.4248466
2203557223,1.9141557
2203551388,1.0924146
2203553871,0.8505928
2203528893,2.4506135
2203532652,1.1036488
2203558645,0.6394084
2203517850,2.6149242
2203526826,1.484149
2203557114,1.0056826
2203559887,0.7469365
2203536595,2.622102
2203555803,1.54474
2203553962,0.99285465
2203508238,1.551255
2203550996,1.3805325
2203558732,1.6028707
2203523111,2.0774865
2203542663,1.3498852
2203531347,1.9039936
2203504071,1.5285599
2203548891,0.98074603
2203556983,2.059425
2203526244,2.4265935
2203505822,1.3631833
2203555760,1.0814219
2203559881,0.43889287
2203556204,1.3189355
2203522916,0.97560644
2203540706,1.3721969
2203535805,1.114609
2203550569,1.7631047
2203560065,0.37980318
2203554152,0.7792458
2203558707,2.1290646
2203536025,2.7014852
2203556657,0.8539512
2203554919,0.93524945
2203548209,1.5845315
2203559357,0.8133266
2203534402,1.7664611
2203549990,1.531284
2203556312,0.9654347
2203550931,1.7516265
2203506584,1.6388912
2203556533,1.0686442
2203554930,0.74433947
2203550201,1.283658
2203557199,1.4357902
2203545333,1.4919393
2203470445,2.093039
2203552444,1.03228
2203547445,1.2463053
2203554851,0.38900492
2203551513,2.0921931
2203541013,1.5789723
2203525798,1.2213595
2203531242,1.8292285
2203556362,0.14731237
2203539995,1.9317955
2203553418,0.5447734
2203556394,0.81817174
2203536899,1.5915257
2203558980,1.0446565
2203520412,0.96969736
2203555115,0.5694494
2203559140,0.9624768
2203559289,0.3376004
2203559337,1.1841605
2203508914,2.408112
2203537373,1.6096375
2203520321,1.8542975
2203545682,2.6637704
2203535788,2.2606757
2203545476,1.2300448
2203531107,1.5368577
2203559834,1.019823
2203555325,1.1690183
2203505337,1.6580358
2203554041,0.295139
2203534249,0.9725982
2203512438,1.8666496
2203549488,2.6479588
2203519812,3.1654458
2203537393,0.7427983
2203470577,2.5311363
2203559873,0.46766257
2203529749,0.3468591
2203555033,2.0890827
2203530605,1.0400025
2203558818,0.97454095
2203552466,0.8527465
2203544503,1.4159179
2203533521,1.9255743
2203510456,0.8555577
2203540838,1.7260364
2203558540,1.5034195
2203548293,1.2133298
2203515868,1.4408833
2203558121,1.5347931
2203490910,2.2923331
2203515598,1.7204456
2203558605,1.9221168
2203555034,0.8810853
2203516555,0.8862039
2203520581,2.1036878
2203550726,1.1705327
2203549224,1.87564
2203560047,0.10581136
2203553869,0.23902866
2203530089,1.1211352
2203558998,0.8854528
2203553951,0.7588365
2203545409,1.4530952
2203531747,2.2375233
